Ano,Trimestre,Mês,Dia,DIVIDA_ATUAL,ID_CONTA,NU_DIAS_ATRASO,Questão 2 - Base 2.QTD_PARCELAMENTO_12M,Questão 2 - Base 2.QTD_PARCELAMENTO_3M,Questão 2 - Base 2.QTD_PARCELAMENTO_6M,Questão 2 - Base 3.LIMITE,Questão 2 - Base 5.QTD_ACIONAMENTO_1M,Questão 2 - Base 5.QTD_ACIONAMENTO_10D,Questão 2 - Base 5.QTD_ACIONAMENTO_3M,Questão 2 - Base 5.QTD_ACIONAMENTO_6M,Questão 2 - Base 5.QTD_CP_10D,Questão 2 - Base 5.QTD_CP_1M,Questão 2 - Base 5.QTD_CP_3M,Questão 2 - Base 5.QTD_CP_6M,Questão 2 - Base 5.QTD_CPC_10D,Questão 2 - Base 5.QTD_CPC_1M,Questão 2 - Base 5.QTD_CPC_3M,Questão 2 - Base 5.QTD_CPC_6M,RESPOSTA,RESPOSTA - Copiar,VALOR_CRELIQ
2018,Trim 4,novembro,22,89970.48,1325598,5697,0,0,0,29727,243,117,531,918,0,0,0,0,0,0,0,0,0,0,64169.01
2018,Trim 4,novembro,22,645.11,1325619,252,0,0,0,292,8,2,63,239,0,1,4,9,0,0,0,0,0,0,424.89
2018,Trim 4,novembro,22,15824.72,1325691,2488,0,0,0,4312,96,52,344,1032,0,0,8,16,0,0,8,8,0,0,9294.08
2018,Trim 4,novembro,22,23946,1325693,2528,8,8,8,3592,60,4,236,660,0,0,0,0,0,0,0,0,0,0,13928
2018,Trim 4,novembro,22,1157.84,1325772,316,0,0,0,404,2,0,2,2,0,0,0,0,0,0,0,0,0,0,673.45
2018,Trim 4,novembro,22,4795.52,1325796,2056,0,0,0,4496,28,8,52,96,0,4,4,8,0,0,0,0,0,0,3127.92
2018,Trim 4,novembro,22,408.44,1325875,226,2,1,2,270,13,8,51,81,1,1,3,3,0,0,0,0,0,0,282.94
2018,Trim 4,novembro,22,1744.93,1325877,347,0,0,0,584,2,0,68,164,0,1,1,2,0,0,0,1,0,0,955.62
2018,Trim 4,novembro,22,1133.58,1325879,294,0,0,0,517,4,2,4,5,1,1,1,1,0,0,0,0,0,0,688.12
2018,Trim 4,novembro,22,806.18,1325887,211,0,0,0,270,2,1,2,2,0,0,0,0,0,0,0,0,0,0,574.99
